category_enc,supplier_enc,days_to_expiry,current_stock,stock_status,sales_velocity_7d,wastage_count_90d,turnover_rate,unit_cost,stock_cover_days,expiring_soon,risk_score
1,0,380,281,2,0.0,3,4.06,537.46,999.0,0,0.33643265991552995
6,0,16,95,0,0.0,6,4.3,426.77,999.0,1,0.5923423785153991
7,4,4,163,0,17.45,8,0.93,575.18,9.34,1,0.5490762654586877
1,6,50,367,2,21.19,1,4.38,331.01,17.32,0,0.2587738916775245
6,1,283,300,2,20.74,6,4.23,46.58,14.47,0,0.3293477930781856
4,1,120,103,0,9.5,11,0.98,226.06,10.84,0,0.3713840376078628
1,2,274,250,0,4.09,8,5.94,391.2,61.2,0,0.29283396925295757
5,0,118,32,0,20.13,8,0.4,549.62,1.59,0,0.3181763409266489
5,3,336,511,2,9.89,4,1.59,163.04,51.66,0,0.3053641760995781
4,6,299,408,2,0.0,15,0.55,47.33,999.0,0,0.5813396367203686
2,6,306,65,0,9.62,8,5.83,519.25,6.76,0,0.22737772263313838
1,4,394,348,2,2.79,5,2.72,573.21,124.78,0,0.3751023528453833
4,2,260,108,0,21.76,6,0.92,462.26,4.96,0,0.23004405916244275
0,5,251,19,1,2.8,9,1.44,159.71,6.79,0,0.3260828332426693
1,1,375,497,2,0.0,4,3.96,569.17,999.0,0,0.37781523507689535
6,3,277,205,0,17.82,11,2.63,320.19,11.5,0,0.30452050350419185
3,1,174,21,1,0.0,7,0.04,430.55,999.0,0,0.3393390506687364
1,0,170,72,0,12.85,15,1.29,96.74,5.6,0,0.4022617088696805
7,3,243,416,2,0.0,13,2.13,258.44,999.0,0,0.6536604098043524
0,1,32,412,2,0.0,7,1.15,331.05,999.0,0,0.47082187565137296
2,4,237,255,2,0.0,14,4.85,516.46,999.0,0,0.5617490473841921
0,1,386,242,0,4.16,15,1.28,252.6,58.2,0,0.29703624799666145
6,0,200,271,2,23.16,9,2.54,575.24,11.7,0,0.5174507227391257
7,2,98,303,2,0.0,1,4.49,53.16,999.0,0,0.3321013113350766
2,0,261,82,0,0.0,2,4.05,156.42,999.0,0,0.14838639367365491
3,0,318,83,0,10.48,8,1.23,435.39,7.92,0,0.25464231431390155
6,2,344,307,2,0.0,0,2.75,599.1,999.0,0,0.34953157374261135
1,3,260,271,2,3.31,2,5.28,234.33,81.84,0,0.19292961988286786
4,0,342,567,2,0.0,4,1.59,536.03,999.0,0,0.4470900020777199
2,4,145,215,0,0.0,8,3.03,165.65,999.0,0,0.4549790855462287
